alloc	heap_new	yes	constructs	infallible	Alloc	trusted-boundary	gated	<T>() with(Alloc) -> *mut T
alloc	grow	yes	constructs	infallible	Alloc	trusted-boundary	gated	<T>(old_ptr: *mut T, size: u64) with(Alloc) -> *mut T
alloc	dealloc	yes	constructs	infallible	Alloc	trusted-boundary	gated	<T>(ptr: *mut T) with(Alloc)
args	count	no	constructs	infallible	none	deterministic	gated	() -> Int
args	get	yes	constructs	infallible	Alloc,Env	trusted-boundary	gated	(idx: Int) with(Env,Alloc) -> String
ascii	is_digit	no	constructs	infallible	none	pure-core	gated	(ch: char) -> bool
ascii	is_upper	no	constructs	infallible	none	pure-core	gated	(ch: char) -> bool
ascii	is_lower	no	constructs	infallible	none	pure-core	gated	(ch: char) -> bool
ascii	is_alpha	no	constructs	infallible	none	pure-core	gated	(ch: char) -> bool
ascii	is_alnum	no	constructs	infallible	none	pure-core	gated	(ch: char) -> bool
ascii	is_whitespace	no	constructs	infallible	none	pure-core	gated	(ch: char) -> bool
ascii	to_lower	no	constructs	infallible	none	pure-core	gated	(ch: char) -> char
ascii	to_upper	no	constructs	infallible	none	pure-core	gated	(ch: char) -> char
base64	encode	yes	constructs	infallible	Alloc	hosted-effect	gated	(input: &Bytes) with(Alloc) -> Bytes
base64	decode	yes	constructs	option	Alloc	hosted-effect	gated	(input: &Bytes) with(Alloc) -> Option<Bytes>
bitset	new	no	constructs	infallible	none	trusted-boundary	gated	() -> BitSet
bitset	with_capacity	yes	constructs	infallible	Alloc	trusted-boundary	gated	(n: u64) with(Alloc) -> BitSet
bitset	set	yes	mut	infallible	Alloc	trusted-boundary	gated	(&mut self, bit: u64) with(Alloc)
bitset	unset	no	mut	infallible	none	trusted-boundary	gated	(&mut self, bit: u64)
bitset	test	no	borrows	infallible	none	trusted-boundary	gated	(&self, bit: u64) -> bool
bitset	insert	yes	mut	infallible	Alloc	trusted-boundary	gated	(&mut self, bit: u64) with(Alloc)
bitset	remove	no	mut	infallible	none	trusted-boundary	gated	(&mut self, bit: u64)
bitset	contains	no	borrows	infallible	none	trusted-boundary	gated	(&self, bit: u64) -> bool
bitset	count	no	borrows	infallible	none	trusted-boundary	gated	(&self) -> u64
